"Filename",PS-PS_neg_53.mzML,CG-C13_neg_52.mzML,MI-B14_neg_49.mzML,CG-C22_neg_50.mzML,MI-B24_neg_47.mzML,QC_neg_45.mzML,MI-ML_neg_48.mzML,QC_neg_56.mzML,QC_neg_51.mzML,PB_neg_42.mzML,CG-CG_neg_55.mzML,ASP-ASP_neg_54.mzML,QC_neg_46.mzML
5023/437.0097mz/4.74min,13070.0712890625,14545.6806640625,12536.6787109375,,13927.27734375,13247.5703125,13809.9931640625,12593.48046875,,12521.392578125,13529.30859375,14847.98828125,13600.33984375
5024/344.9966mz/4.74min,18217.12109375,18581.947265625,18266.5859375,18052.876953125,18709.40625,18714.994140625,17638.5546875,18512.185546875,19389.58203125,20865.025390625,18525.0,18700.4453125,19101.6328125
5027/469.0122mz/4.74min,,10347.48046875,10924.673828125,10844.65625,,10695.685546875,,10291.6416015625,11991.8583984375,9766.9111328125,10460.0595703125,9908.373046875,11378.9150390625
5028/304.9937mz/4.74min,17308.7734375,18445.791015625,18366.189453125,18016.767578125,17078.095703125,17600.6171875,19214.09765625,17347.40234375,18402.255859375,,17158.75390625,17437.447265625,17301.603515625
5029/455.0101mz/4.75min,16307.400390625,16481.234375,15840.736328125,17543.662109375,17381.875,16045.01171875,16265.826171875,16842.57421875,18011.359375,15592.53515625,17484.03125,17361.10546875,15929.224609375
5031/339.0005mz/4.74min,18502.51171875,19753.3125,18879.98046875,19616.986328125,21479.689453125,19784.615234375,,17674.734375,19758.6328125,19034.416015625,21328.90625,,19940.615234375
5032/388.9995mz/4.74min,16566.587890625,16528.0546875,17174.298828125,17355.369140625,18318.892578125,19661.935546875,17915.478515625,18175.369140625,,16672.62109375,20063.615234375,19205.330078125,18301.46875
5033/379.0001mz/4.74min,18348.216796875,17097.09375,16648.767578125,17556.126953125,15569.6552734375,16341.5576171875,14994.9560546875,14801.6630859375,15705.4248046875,18015.23046875,15330.345703125,16697.697265625,16012.3447265625
5034/356.9961mz/4.74min,29501.18359375,28910.837890625,28107.453125,29642.13671875,28577.34765625,27733.60546875,29221.3984375,28683.85546875,,29487.767578125,27178.841796875,29603.0859375,29688.849609375
5035/298.9951mz/4.74min,,11758.037109375,12718.9736328125,12554.4033203125,10489.564453125,10713.7060546875,10128.83984375,10953.33203125,9768.708984375,,11153.966796875,10839.859375,10926.2490234375
5047/362.9954mz/4.75min,,16759.59375,16768.513671875,17521.595703125,17915.328125,18367.078125,16936.111328125,18646.185546875,17335.703125,17798.990234375,,19144.607421875,17575.13671875
5048/320.9986mz/4.75min,13615.529296875,13637.865234375,15782.4130859375,14847.9306640625,14497.6708984375,13425.921875,12859.1005859375,13852.224609375,14362.6806640625,14772.0322265625,15110.333984375,13944.0224609375,14026.0185546875
5049/324.9920mz/4.76min,32045.58984375,31185.16015625,30055.23828125,32714.83984375,29736.119140625,31319.6640625,31004.73828125,35643.20703125,29682.552734375,32693.099609375,31335.447265625,31365.005859375,31781.8046875
